id;address;categories;city;country;keys;menus.amountMax;menus.amountMin;menus.currency;menus.description;menus.name;name;review_overall;priceRangeCurrency;priceRangeMin;priceRangeMax;province
AVwc_6KEIN2L1WUfrKAH;Cascade Village Mall Across From Target;Pizza Place;Bend;US;us/or/bend/cascadevillagemallacrossfromtarget/-2134715703;22.5;15.5;USD;;Bianca Pizza;Little Pizza Paradise;1.5;;;;OR
AVwc_6KEIN2L1WUfrKAH;Cascade Village Mall Across From Target;Pizza Place;Bend;US;us/or/bend/cascadevillagemallacrossfromtarget/-2134715703;18.95;18.95;USD;;Cheese Pizza;Little Pizza Paradise;3;;;;OR
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;us/brentwood/losangeles/148sbarringtonave/-1516414008;12;12;USD;;Pizza, Margherita;The Brentwood;3;USD;50;55;Brentwood
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;us/brentwood/losangeles/148sbarringtonave/-1516414008;13;13;USD;;Pizza, Mushroom;The Brentwood;3;USD;50;55;Brentwood
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;us/brentwood/losangeles/148sbarringtonave/-1516414008;13;13;USD;Olives, onions, capers, tomatoes;Pizza, Puttenesca;The Brentwood;4;USD;50;55;Brentwood
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;us/brentwood/losangeles/148sbarringtonave/-1516414008;15;15;USD;;Pizza, Salami Piccante;The Brentwood;3;USD;50;55;Brentwood
AVwc_6qRByjofQCxkcxw;148 S Barrington Ave;American Restaurant,Bar,Bakery;Los Angeles;US;us/brentwood/losangeles/148sbarringtonave/-1516414008;15;15;USD;;Pizza, White Truffle Meat Sauce;The Brentwood;3.5;USD;50;55;Brentwood
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;us/losfeliz/losangeles/5142hollywoodblvd/-286711359;10.99;7.99;USD;Choose a pizza size.;Cheese Pizza;Bravo Pizza Hollywood;3;;;;Los Feliz
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;us/losfeliz/losangeles/5142hollywoodblvd/-286711359;11.99;7.99;USD;Canadian bacon, pineapple.;Hawaiian Pizza;Bravo Pizza Hollywood;4;;;;Los Feliz
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;us/losfeliz/losangeles/5142hollywoodblvd/-286711359;16.99;11.99;USD;;Meat Lover Pizza;Bravo Pizza Hollywood;4.5;;;;Los Feliz
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;us/losfeliz/losangeles/5142hollywoodblvd/-286711359;5.99;5.99;USD;;Pizza Sub;Bravo Pizza Hollywood;3;;;;Los Feliz
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;us/losfeliz/losangeles/5142hollywoodblvd/-286711359;5.99;5.99;USD;;Super Pizza Sub;Bravo Pizza Hollywood;5;;;;Los Feliz
AVwc_7d_IN2L1WUfrKNN;5142 Hollywood Blvd;Pizza Place;Los Angeles;US;us/losfeliz/losangeles/5142hollywoodblvd/-286711359;16.99;10.99;USD;;Veggie Pizza;Bravo Pizza Hollywood;4;;;;Los Feliz
AVwc_8WAByjofQCxkdDA;801 Saint Emanuel St;Bar,Beer Garden,Sports Bar,Sports Bar, Bar, and Beer Garden;Houston;US;us/tx/houston/801saintemanuelst/960946322;9.95;9.95;USD;Choose any of your own toppings to make it your own;Create Your Own Pizza;Lucky's Pub;4;USD;25;40;TX
AVwc_abAIN2L1WUfrEps;478 South St;American Restaurant, Seafood Restaurant, and French Restaurant;Hyannis;US;us/ma/hyannis/478southst/-1587858019;8.95;8.95;USD;;Cheese Pizza;Roadhouse Cafe;3.5;;;;MA
AVwc_abAIN2L1WUfrEps;478 South St;American Restaurant, Seafood Restaurant, and French Restaurant;Hyannis;US;us/ma/hyannis/478southst/-1587858019;10.95;10.95;USD;;Pepperoni Pizza;Roadhouse Cafe;3;;;;MA
AVwc_dHKkufWRAb51Kei;1 N University Hl;University,University University;Provo;US;us/ut/provo/1nuniversityhl/-27460736;;;;;House Made Pizza;Brigham Young University;2;;;;UT
AVwc_dHKkufWRAb51Kei;1 N University Hl;University,University University;Provo;US;us/ut/provo/1nuniversityhl/-27460736;19.95;15.71;USD;Seven layer bean dip;Mexican Pizza Dip;Brigham Young University;4;;;;UT
AVwc_dHKkufWRAb51Kei;1 N University Hl;University,University University;Provo;US;us/ut/provo/1nuniversityhl/-27460736;;;;1 each (324.00 g);Pepperoni Pizza;Brigham Young University;2.5;;;;UT
AVwc_dHKkufWRAb51Kei;1 N University Hl;University,University University;Provo;US;us/ut/provo/1nuniversityhl/-27460736;;;;1 each (149.18 g);Pizza Bagel;Brigham Young University;4.5;;;;UT
AVwc_gjWByjofQCxkYOz;9595 Six Pines Dr;Sporting Goods Shop,Shoe Store,Sporting Goods Shop and Shoe Store Town Center,Sporting Goods Shop and Shoe Store,Sportswear,Shoe Stores,Running Stores,Clothing Stores,Sporting Goods;Spring;US;us/tx/spring/9595sixpinesdr/-327153848;;;;;Pizza Con Uovo Fritto;Luke's Locker;4;USD;0;25;TX
AVwc_h3pkufWRAb51LOO;200 E Chestnut St;Italian Restaurant,Restaurant,Italian Restaurant Streeterville;Chicago;US;us/ontariostreet/chicago/200echestnutst/833773736;10.99;10.99;USD;;Pizza Margherita;Francesca's On Chestnut;4;USD;25;40;Ontario Street
AVwc_h3pkufWRAb51LOO;200 E Chestnut St;Italian Restaurant,Restaurant,Italian Restaurant Streeterville;Chicago;US;us/ontariostreet/chicago/200echestnutst/833773736;10.99;10.99;USD;;Pizza Margherita;Francesca's On Chestnut;4.5;USD;25;40;Ontario Street
